Category: All categories

Week,Alfalfa: (India)
2024-10-13,57
2024-10-20,63
2024-10-27,51
2024-11-03,68
2024-11-10,62
2024-11-17,53
2024-11-24,52
2024-12-01,58
2024-12-08,71
2024-12-15,83
2024-12-22,58
2024-12-29,50
2025-01-05,52
2025-01-12,47
2025-01-19,51
2025-01-26,61
2025-02-02,66
2025-02-09,60
2025-02-16,60
2025-02-23,58
2025-03-02,61
2025-03-09,70
2025-03-16,69
2025-03-23,100
2025-03-30,62
2025-04-06,78
2025-04-13,78
2025-04-20,62
2025-04-27,60
2025-05-04,59
2025-05-11,64
2025-05-18,62
2025-05-25,55
2025-06-01,58
2025-06-08,57
2025-06-15,55
2025-06-22,62
2025-06-29,58
2025-07-06,66
2025-07-13,71
2025-07-20,70
2025-07-27,60
2025-08-03,64
2025-08-10,57
2025-08-17,71
2025-08-24,64
2025-08-31,66
2025-09-07,60
2025-09-14,55
2025-09-21,59
2025-09-28,51
2025-10-05,53
2025-10-12,57
