Category: All categories

Week,apple: (India)
2024-10-13,61
2024-10-20,60
2024-10-27,69
2024-11-03,60
2024-11-10,57
2024-11-17,60
2024-11-24,59
2024-12-01,60
2024-12-08,63
2024-12-15,59
2024-12-22,58
2024-12-29,57
2025-01-05,60
2025-01-12,57
2025-01-19,58
2025-01-26,59
2025-02-02,55
2025-02-09,52
2025-02-16,62
2025-02-23,54
2025-03-02,55
2025-03-09,59
2025-03-16,54
2025-03-23,48
2025-03-30,50
2025-04-06,52
2025-04-13,50
2025-04-20,47
2025-04-27,49
2025-05-04,45
2025-05-11,55
2025-05-18,52
2025-05-25,49
2025-06-01,53
2025-06-08,66
2025-06-15,54
2025-06-22,54
2025-06-29,55
2025-07-06,56
2025-07-13,58
2025-07-20,56
2025-07-27,53
2025-08-03,59
2025-08-10,57
2025-08-17,57
2025-08-24,61
2025-08-31,66
2025-09-07,100
2025-09-14,72
2025-09-21,91
2025-09-28,67
2025-10-05,63
2025-10-12,63
