Category: All categories

Region,"apple: (10/14/25, 11:26 PM - 10/15/25, 11:26 PM)"
Delhi,100
Punjab,94
Chandigarh,92
Jammu and Kashmir,92
Haryana,88
Telangana,82
Karnataka,81
Uttarakhand,76
Himachal Pradesh,75
Daman and Diu,75
Puducherry,70
Gujarat,66
Maharashtra,64
Tamil Nadu,64
Sikkim,63
Kerala,63
Goa,61
Andaman and Nicobar Islands,59
Manipur,58
Arunachal Pradesh,57
Nagaland,56
Andhra Pradesh,55
Dadra and Nagar Haveli,52
Uttar Pradesh,51
Rajasthan,48
Jharkhand,48
Chhattisgarh,44
Odisha,44
West Bengal,43
Mizoram,43
Assam,42
Madhya Pradesh,42
Tripura,39
Meghalaya,37
Bihar,34
Lakshadweep,
