Category: All categories

Week,bajra: (India)
2024-10-13,67
2024-10-20,65
2024-10-27,53
2024-11-03,66
2024-11-10,67
2024-11-17,78
2024-11-24,87
2024-12-01,88
2024-12-08,87
2024-12-15,87
2024-12-22,84
2024-12-29,77
2025-01-05,100
2025-01-12,85
2025-01-19,79
2025-01-26,69
2025-02-02,67
2025-02-09,58
2025-02-16,60
2025-02-23,54
2025-03-02,52
2025-03-09,53
2025-03-16,57
2025-03-23,47
2025-03-30,47
2025-04-06,48
2025-04-13,45
2025-04-20,47
2025-04-27,49
2025-05-04,39
2025-05-11,44
2025-05-18,47
2025-05-25,54
2025-06-01,61
2025-06-08,55
2025-06-15,76
2025-06-22,63
2025-06-29,63
2025-07-06,62
2025-07-13,61
2025-07-20,60
2025-07-27,58
2025-08-03,53
2025-08-10,58
2025-08-17,64
2025-08-24,59
2025-08-31,61
2025-09-07,66
2025-09-14,69
2025-09-21,66
2025-09-28,63
2025-10-05,68
2025-10-12,70
