Category: All categories

Region,"bajra: (10/14/25, 10:36 PM - 10/15/25, 10:36 PM)"
Arunachal Pradesh,100
Rajasthan,68
Haryana,37
Punjab,23
Jharkhand,22
Jammu and Kashmir,22
Odisha,19
Uttar Pradesh,19
Delhi,19
Madhya Pradesh,18
Telangana,18
Bihar,18
Andhra Pradesh,15
Chhattisgarh,15
Karnataka,15
Maharashtra,15
Gujarat,15
Uttarakhand,14
West Bengal,12
Kerala,9
Tamil Nadu,9
Assam,8
Lakshadweep,
Mizoram,
Nagaland,
Manipur,
Meghalaya,
Puducherry,
Himachal Pradesh,
Sikkim,
Goa,
Dadra and Nagar Haveli,
Tripura,
Daman and Diu,
Chandigarh,
Andaman and Nicobar Islands,
