Category: All categories

Region,"banana: (10/14/25, 11:24 PM - 10/15/25, 11:24 PM)"
Nagaland,100
Dadra and Nagar Haveli,88
Manipur,81
Andaman and Nicobar Islands,75
Uttar Pradesh,73
Arunachal Pradesh,73
Madhya Pradesh,71
Kerala,71
Puducherry,71
Himachal Pradesh,70
Bihar,67
Tamil Nadu,66
Uttarakhand,66
Karnataka,65
Chandigarh,63
Punjab,61
Andhra Pradesh,60
Jharkhand,60
Delhi,59
Chhattisgarh,59
Haryana,59
Telangana,58
Goa,57
Rajasthan,57
Assam,55
Jammu and Kashmir,54
Maharashtra,52
Meghalaya,51
Tripura,49
Odisha,48
West Bengal,48
Gujarat,47
Mizoram,44
Sikkim,43
Daman and Diu,
Lakshadweep,
