Category: All categories

Week,Black Pepper: (India)
2024-10-13,75
2024-10-20,83
2024-10-27,81
2024-11-03,83
2024-11-10,87
2024-11-17,86
2024-11-24,94
2024-12-01,87
2024-12-08,90
2024-12-15,92
2024-12-22,92
2024-12-29,88
2025-01-05,93
2025-01-12,95
2025-01-19,94
2025-01-26,97
2025-02-02,100
2025-02-09,87
2025-02-16,100
2025-02-23,89
2025-03-02,96
2025-03-09,95
2025-03-16,94
2025-03-23,79
2025-03-30,85
2025-04-06,86
2025-04-13,78
2025-04-20,77
2025-04-27,82
2025-05-04,76
2025-05-11,81
2025-05-18,83
2025-05-25,84
2025-06-01,85
2025-06-08,86
2025-06-15,88
2025-06-22,84
2025-06-29,88
2025-07-06,89
2025-07-13,88
2025-07-20,80
2025-07-27,82
2025-08-03,82
2025-08-10,88
2025-08-17,90
2025-08-24,86
2025-08-31,87
2025-09-07,83
2025-09-14,86
2025-09-21,86
2025-09-28,85
2025-10-05,95
2025-10-12,95
