Category: All categories

Region,"Black Pepper: (10/14/25, 11:17 PM - 10/15/25, 11:17 PM)"
Himachal Pradesh,100
Kerala,98
Uttarakhand,98
Punjab,92
Karnataka,84
Telangana,69
Assam,68
Tamil Nadu,64
Odisha,60
West Bengal,55
Delhi,54
Haryana,51
Jammu and Kashmir,48
Andhra Pradesh,43
Maharashtra,41
Jharkhand,40
Chhattisgarh,39
Bihar,36
Uttar Pradesh,36
Rajasthan,34
Gujarat,30
Madhya Pradesh,26
Lakshadweep,
Mizoram,
Nagaland,
Manipur,
Meghalaya,
Puducherry,
Goa,
Sikkim,
Dadra and Nagar Haveli,
Daman and Diu,
Tripura,
Chandigarh,
Arunachal Pradesh,
Andaman and Nicobar Islands,
