Category: All categories

Region,"Eggplant: (10/14/25, 11:38 PM - 10/15/25, 11:38 PM)"
Jharkhand,100
Bihar,96
Tripura,93
Chhattisgarh,91
Andhra Pradesh,82
Telangana,81
Haryana,79
Karnataka,79
Manipur,78
Uttarakhand,74
Uttar Pradesh,74
Rajasthan,66
Tamil Nadu,66
Jammu and Kashmir,63
Madhya Pradesh,63
Odisha,62
Delhi,60
West Bengal,59
Assam,59
Himachal Pradesh,58
Kerala,57
Punjab,56
Meghalaya,54
Maharashtra,48
Gujarat,42
Goa,39
Lakshadweep,
Puducherry,
Nagaland,
Sikkim,
Mizoram,
Dadra and Nagar Haveli,
Daman and Diu,
Chandigarh,
Arunachal Pradesh,
Andaman and Nicobar Islands,
