Category: All categories

Region,"Cabbage: (10/14/25, 11:41 PM - 10/15/25, 11:41 PM)"
Nagaland,100
Manipur,90
Meghalaya,48
Goa,34
Assam,32
Kerala,32
Karnataka,31
Himachal Pradesh,30
Andhra Pradesh,27
Tamil Nadu,26
Telangana,26
Uttarakhand,24
Odisha,18
Punjab,16
Jharkhand,16
Jammu and Kashmir,16
Haryana,16
Maharashtra,15
Delhi,14
West Bengal,13
Uttar Pradesh,13
Rajasthan,11
Madhya Pradesh,9
Gujarat,9
Bihar,7
Lakshadweep,
Mizoram,
Puducherry,
Dadra and Nagar Haveli,
Sikkim,
Daman and Diu,
Chhattisgarh,
Tripura,
Chandigarh,
Arunachal Pradesh,
Andaman and Nicobar Islands,
