Category: All categories

Region,"Capsicum: (14/10/2025, 23:06 - 15/10/2025, 23:06)"
Karnataka,100
Himachal Pradesh,88
Telangana,81
Andhra Pradesh,62
Tamil Nadu,62
Uttarakhand,61
Punjab,60
Kerala,52
Assam,52
Delhi,50
West Bengal,49
Haryana,49
Maharashtra,40
Uttar Pradesh,36
Rajasthan,36
Gujarat,31
Bihar,31
Odisha,27
Madhya Pradesh,22
Lakshadweep,
Meghalaya,
Manipur,
Jammu & Kashmir,
Mizoram,
Nagaland,
Jharkhand,
Goa,
Puducherry,
Dadra and Nagar Haveli,
Sikkim,
Daman and Diu,
Chhattisgarh,
Tripura,
Chandigarh,
Arunachal Pradesh,
Andaman and Nicobar Islands,
