Category: All categories

Region,"Cardamom: (10/14/25, 11:16 PM - 10/15/25, 11:16 PM)"
Kerala,100
Tamil Nadu,31
Karnataka,21
Andhra Pradesh,16
Punjab,15
Uttarakhand,15
Delhi,13
Telangana,13
Odisha,13
West Bengal,13
Assam,11
Maharashtra,11
Chhattisgarh,11
Haryana,10
Jammu and Kashmir,9
Gujarat,8
Madhya Pradesh,7
Uttar Pradesh,7
Bihar,6
Rajasthan,5
Lakshadweep,
Manipur,
Meghalaya,
Mizoram,
Nagaland,
Jharkhand,
Himachal Pradesh,
Puducherry,
Goa,
Sikkim,
Dadra and Nagar Haveli,
Daman and Diu,
Tripura,
Chandigarh,
Arunachal Pradesh,
Andaman and Nicobar Islands,
