Category: All categories

Week,Carrot: (India)
2024-10-13,65
2024-10-20,68
2024-10-27,62
2024-11-03,67
2024-11-10,71
2024-11-17,74
2024-11-24,80
2024-12-01,84
2024-12-08,83
2024-12-15,84
2024-12-22,85
2024-12-29,97
2025-01-05,100
2025-01-12,84
2025-01-19,98
2025-01-26,95
2025-02-02,94
2025-02-09,89
2025-02-16,85
2025-02-23,82
2025-03-02,89
2025-03-09,80
2025-03-16,83
2025-03-23,67
2025-03-30,70
2025-04-06,70
2025-04-13,71
2025-04-20,66
2025-04-27,65
2025-05-04,60
2025-05-11,62
2025-05-18,59
2025-05-25,58
2025-06-01,63
2025-06-08,66
2025-06-15,66
2025-06-22,74
2025-06-29,75
2025-07-06,71
2025-07-13,71
2025-07-20,72
2025-07-27,69
2025-08-03,67
2025-08-10,66
2025-08-17,68
2025-08-24,65
2025-08-31,66
2025-09-07,70
2025-09-14,65
2025-09-21,65
2025-09-28,56
2025-10-05,69
2025-10-12,77
