Category: All categories

Region,"Carrot: (14/10/2025, 23:09 - 15/10/2025, 23:09)"
Puducherry,100
Goa,95
Kerala,82
Andhra Pradesh,82
Meghalaya,81
Tamil Nadu,81
Telangana,78
Karnataka,72
Manipur,63
Punjab,43
Odisha,42
Jammu & Kashmir,40
Chandigarh,40
Uttarakhand,39
Haryana,39
Delhi,37
Assam,36
Maharashtra,35
Himachal Pradesh,33
Uttar Pradesh,28
West Bengal,27
Chhattisgarh,27
Jharkhand,25
Rajasthan,20
Madhya Pradesh,19
Gujarat,16
Bihar,16
Lakshadweep,
Nagaland,
Sikkim,
Mizoram,
Dadra and Nagar Haveli,
Tripura,
Daman and Diu,
Arunachal Pradesh,
Andaman and Nicobar Islands,
