Category: All categories

Region,"Cauliflower: (10/14/25, 11:39 PM - 10/15/25, 11:39 PM)"
Himachal Pradesh,100
Tamil Nadu,50
Punjab,43
Odisha,38
Bihar,37
Kerala,37
Karnataka,35
Chhattisgarh,35
Jharkhand,34
Telangana,31
Assam,30
Jammu and Kashmir,27
Uttarakhand,26
Andhra Pradesh,25
Haryana,25
Maharashtra,23
West Bengal,22
Delhi,22
Madhya Pradesh,18
Uttar Pradesh,17
Rajasthan,16
Gujarat,12
Lakshadweep,
Mizoram,
Nagaland,
Manipur,
Meghalaya,
Puducherry,
Goa,
Sikkim,
Dadra and Nagar Haveli,
Daman and Diu,
Tripura,
Chandigarh,
Arunachal Pradesh,
Andaman and Nicobar Islands,
