Category: All categories

Week,Cinnamon: (India)
2024-10-13,93
2024-10-20,90
2024-10-27,87
2024-11-03,88
2024-11-10,90
2024-11-17,96
2024-11-24,100
2024-12-01,89
2024-12-08,88
2024-12-15,85
2024-12-22,92
2024-12-29,91
2025-01-05,95
2025-01-12,82
2025-01-19,91
2025-01-26,84
2025-02-02,92
2025-02-09,90
2025-02-16,90
2025-02-23,80
2025-03-02,79
2025-03-09,90
2025-03-16,88
2025-03-23,75
2025-03-30,77
2025-04-06,80
2025-04-13,80
2025-04-20,79
2025-04-27,77
2025-05-04,73
2025-05-11,85
2025-05-18,85
2025-05-25,78
2025-06-01,90
2025-06-08,85
2025-06-15,86
2025-06-22,89
2025-06-29,89
2025-07-06,90
2025-07-13,86
2025-07-20,85
2025-07-27,87
2025-08-03,91
2025-08-10,87
2025-08-17,87
2025-08-24,83
2025-08-31,93
2025-09-07,88
2025-09-14,83
2025-09-21,83
2025-09-28,79
2025-10-05,87
2025-10-12,89
