Category: All categories

Region,"Cinnamon: (10/14/25, 11:22 PM - 10/15/25, 11:22 PM)"
Nagaland,100
Goa,75
Kerala,46
Karnataka,43
Jammu and Kashmir,41
Tamil Nadu,41
Delhi,41
Telangana,39
Haryana,37
Punjab,35
Maharashtra,33
Uttarakhand,32
Andhra Pradesh,32
Odisha,26
West Bengal,25
Assam,24
Gujarat,23
Himachal Pradesh,23
Chhattisgarh,22
Rajasthan,22
Uttar Pradesh,21
Jharkhand,16
Bihar,15
Madhya Pradesh,14
Lakshadweep,
Mizoram,
Manipur,
Puducherry,
Meghalaya,
Sikkim,
Dadra and Nagar Haveli,
Daman and Diu,
Tripura,
Chandigarh,
Arunachal Pradesh,
Andaman and Nicobar Islands,
