Category: All categories

Region,"Coconut: (10/14/25, 11:24 PM - 10/15/25, 11:24 PM)"
Andaman and Nicobar Islands,100
Goa,96
Kerala,66
Puducherry,63
Karnataka,58
Nagaland,57
Arunachal Pradesh,56
Tamil Nadu,54
Manipur,53
Telangana,45
Andhra Pradesh,40
Delhi,37
Tripura,35
Punjab,32
Haryana,32
Maharashtra,32
Jammu and Kashmir,31
Chandigarh,31
Odisha,31
Mizoram,29
West Bengal,27
Jharkhand,27
Assam,26
Uttarakhand,26
Himachal Pradesh,26
Gujarat,24
Uttar Pradesh,22
Rajasthan,22
Chhattisgarh,20
Bihar,17
Madhya Pradesh,17
Meghalaya,15
Dadra and Nagar Haveli,
Daman and Diu,
Sikkim,
Lakshadweep,
