Category: All categories

Region,"Coriander: (10/14/25, 11:21 PM - 10/15/25, 11:21 PM)"
Karnataka,100
Telangana,84
Andhra Pradesh,82
Tamil Nadu,82
Kerala,79
Himachal Pradesh,73
Maharashtra,70
Odisha,64
West Bengal,64
Punjab,62
Haryana,61
Jharkhand,59
Jammu and Kashmir,59
Uttarakhand,58
Assam,53
Gujarat,53
Delhi,49
Madhya Pradesh,45
Bihar,40
Chhattisgarh,37
Uttar Pradesh,36
Rajasthan,29
Lakshadweep,
Mizoram,
Nagaland,
Manipur,
Meghalaya,
Puducherry,
Goa,
Sikkim,
Dadra and Nagar Haveli,
Daman and Diu,
Tripura,
Chandigarh,
Arunachal Pradesh,
Andaman and Nicobar Islands,
