Category: All categories

Week,cotton: (India)
2024-10-13,70
2024-10-20,73
2024-10-27,66
2024-11-03,65
2024-11-10,63
2024-11-17,65
2024-11-24,64
2024-12-01,66
2024-12-08,67
2024-12-15,61
2024-12-22,60
2024-12-29,66
2025-01-05,70
2025-01-12,62
2025-01-19,66
2025-01-26,69
2025-02-02,71
2025-02-09,70
2025-02-16,72
2025-02-23,80
2025-03-02,80
2025-03-09,86
2025-03-16,91
2025-03-23,84
2025-03-30,77
2025-04-06,86
2025-04-13,87
2025-04-20,87
2025-04-27,100
2025-05-04,94
2025-05-11,92
2025-05-18,84
2025-05-25,82
2025-06-01,77
2025-06-08,84
2025-06-15,80
2025-06-22,76
2025-06-29,78
2025-07-06,76
2025-07-13,78
2025-07-20,76
2025-07-27,78
2025-08-03,80
2025-08-10,79
2025-08-17,75
2025-08-24,77
2025-08-31,83
2025-09-07,73
2025-09-14,79
2025-09-21,73
2025-09-28,72
2025-10-05,76
2025-10-12,81
