Category: All categories

Region,"cotton: (10/14/25, 11:01 PM - 10/15/25, 11:01 PM)"
Puducherry,100
Tamil Nadu,94
Karnataka,84
Andaman and Nicobar Islands,82
Assam,72
Andhra Pradesh,71
Maharashtra,70
Arunachal Pradesh,66
Telangana,66
Goa,63
Delhi,59
Daman and Diu,57
Odisha,56
Haryana,55
Kerala,54
Nagaland,53
Gujarat,52
Tripura,51
Jharkhand,48
Chandigarh,48
Rajasthan,46
Bihar,45
Meghalaya,45
West Bengal,44
Sikkim,43
Uttar Pradesh,43
Uttarakhand,42
Manipur,42
Himachal Pradesh,41
Chhattisgarh,41
Punjab,41
Madhya Pradesh,39
Mizoram,38
Jammu and Kashmir,38
Dadra and Nagar Haveli,
Lakshadweep,
