Category: All categories

Region,"Cumin: (10/14/25, 11:20 PM - 10/15/25, 11:20 PM)"
Nagaland,100
Goa,42
Tamil Nadu,36
Karnataka,35
Kerala,33
Telangana,30
Odisha,27
Haryana,23
Delhi,23
Jammu and Kashmir,22
Gujarat,22
Andhra Pradesh,22
West Bengal,20
Assam,20
Maharashtra,16
Jharkhand,16
Punjab,16
Rajasthan,14
Uttar Pradesh,13
Uttarakhand,12
Bihar,12
Madhya Pradesh,11
Lakshadweep,
Mizoram,
Manipur,
Meghalaya,
Himachal Pradesh,
Puducherry,
Dadra and Nagar Haveli,
Sikkim,
Daman and Diu,
Chhattisgarh,
Tripura,
Chandigarh,
Arunachal Pradesh,
Andaman and Nicobar Islands,
