Category: All categories

Region,"Fenugreek: (10/14/25, 11:24 PM - 10/15/25, 11:24 PM)"
Karnataka,100
Tamil Nadu,97
Kerala,91
Goa,85
Telangana,82
Andhra Pradesh,80
Jammu and Kashmir,70
Odisha,66
Assam,59
Maharashtra,47
Delhi,45
Punjab,45
Uttarakhand,45
Haryana,40
West Bengal,40
Bihar,35
Chhattisgarh,31
Gujarat,28
Rajasthan,27
Uttar Pradesh,26
Jharkhand,24
Madhya Pradesh,18
Lakshadweep,
Mizoram,
Nagaland,
Manipur,
Meghalaya,
Puducherry,
Himachal Pradesh,
Sikkim,
Dadra and Nagar Haveli,
Daman and Diu,
Tripura,
Chandigarh,
Arunachal Pradesh,
Andaman and Nicobar Islands,
