Category: All categories

Week,French Beans: (India)
2024-10-13,77
2024-10-20,55
2024-10-27,66
2024-11-03,79
2024-11-10,96
2024-11-17,72
2024-11-24,91
2024-12-01,100
2024-12-08,75
2024-12-15,57
2024-12-22,80
2024-12-29,79
2025-01-05,89
2025-01-12,83
2025-01-19,95
2025-01-26,88
2025-02-02,94
2025-02-09,80
2025-02-16,77
2025-02-23,79
2025-03-02,73
2025-03-09,87
2025-03-16,87
2025-03-23,70
2025-03-30,75
2025-04-06,69
2025-04-13,63
2025-04-20,75
2025-04-27,75
2025-05-04,56
2025-05-11,76
2025-05-18,81
2025-05-25,84
2025-06-01,71
2025-06-08,67
2025-06-15,89
2025-06-22,77
2025-06-29,76
2025-07-06,81
2025-07-13,89
2025-07-20,79
2025-07-27,93
2025-08-03,86
2025-08-10,88
2025-08-17,85
2025-08-24,81
2025-08-31,82
2025-09-07,75
2025-09-14,89
2025-09-21,96
2025-09-28,78
2025-10-05,83
2025-10-12,87
