Category: All categories

Region,"French Beans: (14/10/2025, 22:48 - 15/10/2025, 22:48)"
Gujarat,100
Maharashtra,86
Madhya Pradesh,75
Karnataka,47
West Bengal,47
Tamil Nadu,45
Uttar Pradesh,34
Lakshadweep,
Andaman and Nicobar Islands,
Dadra and Nagar Haveli,
Goa,
Daman and Diu,
Himachal Pradesh,
Haryana,
Jharkhand,
Jammu & Kashmir,
Chhattisgarh,
Kerala,
Chandigarh,
Bihar,
Meghalaya,
Manipur,
Assam,
Mizoram,
Nagaland,
Odisha,
Punjab,
Puducherry,
Rajasthan,
Sikkim,
Telangana,
Arunachal Pradesh,
Tripura,
Andhra Pradesh,
Uttarakhand,
Delhi,
