Category: All categories

Region,"Ginger: (10/14/25, 11:19 PM - 10/15/25, 11:19 PM)"
Manipur,100
Goa,99
Nagaland,96
Tripura,92
Arunachal Pradesh,83
Mizoram,73
Meghalaya,59
Karnataka,56
Telangana,47
Kerala,47
Puducherry,46
Maharashtra,46
Delhi,41
Jammu and Kashmir,38
Odisha,38
Tamil Nadu,37
Haryana,36
Assam,34
Uttarakhand,34
Gujarat,33
Andhra Pradesh,30
Chandigarh,29
West Bengal,28
Punjab,28
Jharkhand,26
Uttar Pradesh,24
Himachal Pradesh,21
Rajasthan,17
Madhya Pradesh,16
Chhattisgarh,16
Bihar,16
Lakshadweep,
Sikkim,
Dadra and Nagar Haveli,
Daman and Diu,
Andaman and Nicobar Islands,
