Category: All categories

Week,Guava: (India)
2024-10-13,63
2024-10-20,66
2024-10-27,71
2024-11-03,76
2024-11-10,87
2024-11-17,86
2024-11-24,96
2024-12-01,100
2024-12-08,95
2024-12-15,88
2024-12-22,88
2024-12-29,86
2025-01-05,92
2025-01-12,80
2025-01-19,81
2025-01-26,73
2025-02-02,69
2025-02-09,65
2025-02-16,58
2025-02-23,55
2025-03-02,58
2025-03-09,53
2025-03-16,59
2025-03-23,48
2025-03-30,48
2025-04-06,51
2025-04-13,49
2025-04-20,53
2025-04-27,46
2025-05-04,41
2025-05-11,43
2025-05-18,47
2025-05-25,53
2025-06-01,50
2025-06-08,54
2025-06-15,55
2025-06-22,59
2025-06-29,74
2025-07-06,67
2025-07-13,78
2025-07-20,80
2025-07-27,90
2025-08-03,84
2025-08-10,86
2025-08-17,88
2025-08-24,88
2025-08-31,79
2025-09-07,77
2025-09-14,71
2025-09-21,63
2025-09-28,60
2025-10-05,68
2025-10-12,71
