Category: All categories

Week,jowar: (India)
2024-10-13,74
2024-10-20,68
2024-10-27,59
2024-11-03,72
2024-11-10,79
2024-11-17,85
2024-11-24,92
2024-12-01,85
2024-12-08,86
2024-12-15,77
2024-12-22,72
2024-12-29,79
2025-01-05,88
2025-01-12,78
2025-01-19,78
2025-01-26,83
2025-02-02,78
2025-02-09,77
2025-02-16,75
2025-02-23,77
2025-03-02,75
2025-03-09,81
2025-03-16,79
2025-03-23,74
2025-03-30,73
2025-04-06,74
2025-04-13,75
2025-04-20,73
2025-04-27,73
2025-05-04,70
2025-05-11,64
2025-05-18,68
2025-05-25,70
2025-06-01,76
2025-06-08,78
2025-06-15,81
2025-06-22,85
2025-06-29,97
2025-07-06,100
2025-07-13,96
2025-07-20,100
2025-07-27,90
2025-08-03,80
2025-08-10,83
2025-08-17,89
2025-08-24,84
2025-08-31,87
2025-09-07,83
2025-09-14,88
2025-09-21,82
2025-09-28,74
2025-10-05,85
2025-10-12,84
