Category: All categories

Region,"jowar: (10/14/25, 10:35 PM - 10/15/25, 10:35 PM)"
Chandigarh,100
Karnataka,51
Telangana,48
Maharashtra,41
Andhra Pradesh,35
West Bengal,27
Jammu and Kashmir,22
Punjab,22
Tamil Nadu,19
Delhi,19
Odisha,16
Chhattisgarh,15
Madhya Pradesh,14
Jharkhand,14
Gujarat,14
Haryana,13
Uttar Pradesh,13
Bihar,12
Kerala,12
Assam,11
Rajasthan,10
Lakshadweep,
Manipur,
Mizoram,
Nagaland,
Meghalaya,
Himachal Pradesh,
Puducherry,
Goa,
Sikkim,
Dadra and Nagar Haveli,
Daman and Diu,
Tripura,
Arunachal Pradesh,
Uttarakhand,
Andaman and Nicobar Islands,
