Category: All categories

Week,Jute: (India)
2024-10-13,77
2024-10-20,84
2024-10-27,78
2024-11-03,84
2024-11-10,100
2024-11-17,85
2024-11-24,90
2024-12-01,81
2024-12-08,84
2024-12-15,82
2024-12-22,80
2024-12-29,72
2025-01-05,85
2025-01-12,82
2025-01-19,82
2025-01-26,76
2025-02-02,79
2025-02-09,78
2025-02-16,95
2025-02-23,94
2025-03-02,82
2025-03-09,74
2025-03-16,82
2025-03-23,65
2025-03-30,62
2025-04-06,69
2025-04-13,70
2025-04-20,68
2025-04-27,66
2025-05-04,63
2025-05-11,66
2025-05-18,65
2025-05-25,62
2025-06-01,67
2025-06-08,65
2025-06-15,65
2025-06-22,68
2025-06-29,71
2025-07-06,70
2025-07-13,73
2025-07-20,71
2025-07-27,76
2025-08-03,76
2025-08-10,70
2025-08-17,79
2025-08-24,92
2025-08-31,78
2025-09-07,76
2025-09-14,78
2025-09-21,84
2025-09-28,70
2025-10-05,90
2025-10-12,92
