Category: All categories

Region,"Jute: (10/14/25, 11:03 PM - 10/15/25, 11:03 PM)"
West Bengal,100
Uttarakhand,88
Goa,77
Himachal Pradesh,74
Delhi,73
Haryana,66
Uttar Pradesh,66
Rajasthan,64
Madhya Pradesh,62
Chandigarh,58
Jammu and Kashmir,56
Jharkhand,54
Assam,51
Bihar,48
Andhra Pradesh,48
Punjab,47
Tripura,47
Chhattisgarh,43
Maharashtra,37
Telangana,36
Karnataka,36
Tamil Nadu,34
Odisha,31
Gujarat,31
Kerala,24
Lakshadweep,
Nagaland,
Puducherry,
Mizoram,
Sikkim,
Manipur,
Meghalaya,
Dadra and Nagar Haveli,
Daman and Diu,
Arunachal Pradesh,
Andaman and Nicobar Islands,
