Category: All categories

Region,"maize: (10/14/25, 10:34 PM - 10/15/25, 10:34 PM)"
Nagaland,100
Manipur,77
Meghalaya,54
Karnataka,49
Andhra Pradesh,48
Telangana,45
Jammu and Kashmir,41
Himachal Pradesh,40
Punjab,31
Chhattisgarh,29
Madhya Pradesh,27
Uttarakhand,26
Tamil Nadu,24
Maharashtra,24
Bihar,24
Assam,21
Jharkhand,21
Odisha,18
Rajasthan,16
Uttar Pradesh,16
West Bengal,15
Kerala,15
Delhi,14
Haryana,13
Gujarat,13
Lakshadweep,
Mizoram,
Puducherry,
Goa,
Sikkim,
Dadra and Nagar Haveli,
Daman and Diu,
Tripura,
Chandigarh,
Arunachal Pradesh,
Andaman and Nicobar Islands,
