Category: All categories

Week,Mustard: (India)
2024-10-13,75
2024-10-20,71
2024-10-27,74
2024-11-03,75
2024-11-10,70
2024-11-17,76
2024-11-24,80
2024-12-01,76
2024-12-08,75
2024-12-15,72
2024-12-22,72
2024-12-29,77
2025-01-05,82
2025-01-12,75
2025-01-19,81
2025-01-26,78
2025-02-02,73
2025-02-09,71
2025-02-16,72
2025-02-23,65
2025-03-02,66
2025-03-09,72
2025-03-16,75
2025-03-23,66
2025-03-30,74
2025-04-06,69
2025-04-13,62
2025-04-20,63
2025-04-27,67
2025-05-04,64
2025-05-11,63
2025-05-18,60
2025-05-25,61
2025-06-01,64
2025-06-08,60
2025-06-15,66
2025-06-22,64
2025-06-29,69
2025-07-06,66
2025-07-13,71
2025-07-20,67
2025-07-27,74
2025-08-03,71
2025-08-10,67
2025-08-17,80
2025-08-24,75
2025-08-31,72
2025-09-07,70
2025-09-14,74
2025-09-21,81
2025-09-28,80
2025-10-05,89
2025-10-12,100
