Category: All categories

Region,"Mustard: (10/14/25, 10:56 PM - 10/15/25, 10:56 PM)"
Rajasthan,100
Haryana,93
Uttar Pradesh,82
Jharkhand,75
Uttarakhand,75
Arunachal Pradesh,75
Punjab,69
Manipur,68
Delhi,66
Nagaland,66
Bihar,59
Assam,59
Meghalaya,57
Madhya Pradesh,53
West Bengal,52
Chandigarh,50
Jammu and Kashmir,48
Goa,48
Himachal Pradesh,48
Odisha,47
Tripura,44
Chhattisgarh,38
Karnataka,37
Andhra Pradesh,30
Telangana,30
Maharashtra,28
Gujarat,23
Tamil Nadu,23
Kerala,22
Lakshadweep,
Sikkim,
Puducherry,
Mizoram,
Dadra and Nagar Haveli,
Daman and Diu,
Andaman and Nicobar Islands,
