Category: All categories

Region,"Onion: (10/14/25, 11:36 PM - 10/15/25, 11:36 PM)"
Madhya Pradesh,100
Rajasthan,87
Uttarakhand,76
Jharkhand,72
Nagaland,72
Arunachal Pradesh,68
Puducherry,64
Delhi,63
Uttar Pradesh,63
Chhattisgarh,62
Karnataka,62
Haryana,62
Goa,62
Himachal Pradesh,62
Bihar,60
Chandigarh,59
Manipur,58
Maharashtra,58
Tripura,57
Jammu and Kashmir,54
Telangana,54
Tamil Nadu,54
Andhra Pradesh,53
Odisha,52
Punjab,51
West Bengal,48
Kerala,45
Meghalaya,45
Gujarat,38
Assam,36
Lakshadweep,
Sikkim,
Mizoram,
Dadra and Nagar Haveli,
Daman and Diu,
Andaman and Nicobar Islands,
