Category: All categories

Region,"Orange: (10/14/25, 11:25 PM - 10/15/25, 11:25 PM)"
Puducherry,100
Nagaland,82
Meghalaya,78
Arunachal Pradesh,76
Telangana,75
Goa,74
Karnataka,72
Jammu and Kashmir,68
Kerala,66
Tamil Nadu,65
Haryana,62
Maharashtra,62
Jharkhand,62
Delhi,62
Uttarakhand,55
Andhra Pradesh,55
Himachal Pradesh,54
Chandigarh,49
Punjab,49
Chhattisgarh,48
Uttar Pradesh,47
Manipur,45
West Bengal,42
Rajasthan,42
Assam,42
Gujarat,41
Odisha,41
Bihar,40
Madhya Pradesh,37
Lakshadweep,
Sikkim,
Mizoram,
Tripura,
Dadra and Nagar Haveli,
Daman and Diu,
Andaman and Nicobar Islands,
