Category: All categories

Region,"Pea: (14/10/2025, 23:05 - 15/10/2025, 23:05)"
Mizoram,100
Uttarakhand,54
Meghalaya,48
Karnataka,34
Kerala,34
Himachal Pradesh,33
Odisha,33
Punjab,32
Jharkhand,31
Jammu & Kashmir,30
Andhra Pradesh,27
Assam,26
Telangana,26
Tamil Nadu,24
Uttar Pradesh,22
Maharashtra,22
Haryana,21
Chhattisgarh,20
Rajasthan,20
Bihar,19
West Bengal,19
Madhya Pradesh,19
Delhi,19
Gujarat,14
Lakshadweep,
Nagaland,
Manipur,
Puducherry,
Goa,
Sikkim,
Dadra and Nagar Haveli,
Daman and Diu,
Tripura,
Chandigarh,
Arunachal Pradesh,
Andaman and Nicobar Islands,
