Category: All categories

Region,"Peanut: (10/14/25, 10:55 PM - 10/15/25, 10:55 PM)"
Rajasthan,100
Puducherry,80
Madhya Pradesh,71
Haryana,58
Tamil Nadu,58
Karnataka,57
Telangana,54
Andhra Pradesh,54
Uttarakhand,52
Uttar Pradesh,52
Delhi,52
Gujarat,50
Punjab,49
Kerala,49
Arunachal Pradesh,48
Goa,42
Jammu and Kashmir,41
Himachal Pradesh,39
Chandigarh,39
Maharashtra,37
Jharkhand,36
Chhattisgarh,35
Odisha,32
Tripura,31
Bihar,30
Manipur,28
West Bengal,25
Assam,25
Lakshadweep,
Sikkim,
Nagaland,
Mizoram,
Meghalaya,
Dadra and Nagar Haveli,
Daman and Diu,
Andaman and Nicobar Islands,
