Category: All categories

Week,Pineapple: (India)
2024-10-13,73
2024-10-20,72
2024-10-27,69
2024-11-03,82
2024-11-10,82
2024-11-17,78
2024-11-24,80
2024-12-01,79
2024-12-08,78
2024-12-15,71
2024-12-22,73
2024-12-29,72
2025-01-05,76
2025-01-12,78
2025-01-19,79
2025-01-26,79
2025-02-02,82
2025-02-09,79
2025-02-16,77
2025-02-23,80
2025-03-02,89
2025-03-09,87
2025-03-16,83
2025-03-23,79
2025-03-30,74
2025-04-06,77
2025-04-13,77
2025-04-20,80
2025-04-27,74
2025-05-04,76
2025-05-11,76
2025-05-18,75
2025-05-25,78
2025-06-01,79
2025-06-08,80
2025-06-15,77
2025-06-22,84
2025-06-29,83
2025-07-06,90
2025-07-13,100
2025-07-20,86
2025-07-27,85
2025-08-03,80
2025-08-10,77
2025-08-17,79
2025-08-24,86
2025-08-31,79
2025-09-07,74
2025-09-14,80
2025-09-21,70
2025-09-28,70
2025-10-05,73
2025-10-12,78
