Category: All categories

Region,"Pineapple: (10/14/25, 11:47 PM - 10/15/25, 11:47 PM)"
Andaman and Nicobar Islands,100
Arunachal Pradesh,24
Kerala,16
Goa,15
Uttarakhand,14
Delhi,13
Himachal Pradesh,13
Karnataka,13
Punjab,12
Telangana,12
Jammu and Kashmir,11
Uttar Pradesh,11
Meghalaya,11
Chandigarh,10
Tamil Nadu,10
Maharashtra,10
Haryana,10
Rajasthan,10
Andhra Pradesh,9
Jharkhand,9
Chhattisgarh,8
Bihar,8
West Bengal,8
Gujarat,8
Madhya Pradesh,7
Assam,6
Odisha,5
Mizoram,
Nagaland,
Puducherry,
Manipur,
Sikkim,
Dadra and Nagar Haveli,
Tripura,
Daman and Diu,
Lakshadweep,
