Category: All categories

Region,"Potato: (10/14/25, 11:33 PM - 10/15/25, 11:33 PM)"
Sikkim,100
Chhattisgarh,6
Bihar,4
Madhya Pradesh,3
Rajasthan,3
Uttar Pradesh,3
Delhi,2
Maharashtra,2
Tamil Nadu,1
Andaman and Nicobar Islands,
West Bengal,
Gujarat,
Himachal Pradesh,
Haryana,
Jharkhand,
Jammu and Kashmir,
Karnataka,
Kerala,
Lakshadweep,
Dadra and Nagar Haveli,
Meghalaya,
Manipur,
Daman and Diu,
Mizoram,
Nagaland,
Odisha,
Punjab,
Puducherry,
Chandigarh,
Assam,
Telangana,
Arunachal Pradesh,
Tripura,
Andhra Pradesh,
Uttarakhand,
Goa,
