Category: All categories

Week,Red Pepper: (India)
2024-10-13,91
2024-10-20,84
2024-10-27,81
2024-11-03,93
2024-11-10,89
2024-11-17,94
2024-11-24,90
2024-12-01,80
2024-12-08,82
2024-12-15,83
2024-12-22,75
2024-12-29,83
2025-01-05,96
2025-01-12,91
2025-01-19,85
2025-01-26,97
2025-02-02,92
2025-02-09,100
2025-02-16,68
2025-02-23,86
2025-03-02,88
2025-03-09,92
2025-03-16,85
2025-03-23,72
2025-03-30,62
2025-04-06,91
2025-04-13,80
2025-04-20,89
2025-04-27,70
2025-05-04,80
2025-05-11,92
2025-05-18,78
2025-05-25,67
2025-06-01,73
2025-06-08,72
2025-06-15,94
2025-06-22,78
2025-06-29,95
2025-07-06,88
2025-07-13,88
2025-07-20,93
2025-07-27,77
2025-08-03,71
2025-08-10,89
2025-08-17,63
2025-08-24,85
2025-08-31,75
2025-09-07,64
2025-09-14,86
2025-09-21,66
2025-09-28,78
2025-10-05,76
2025-10-12,81
