Category: All categories

Region,"Red Pepper: (14/10/2025, 23:10 - 15/10/2025, 23:10)"
Goa,100
Kerala,25
Rajasthan,8
West Bengal,7
Maharashtra,6
Tamil Nadu,5
Karnataka,5
Lakshadweep,
Andaman and Nicobar Islands,
Dadra and Nagar Haveli,
Daman and Diu,
Gujarat,
Himachal Pradesh,
Haryana,
Jharkhand,
Jammu & Kashmir,
Chhattisgarh,
Chandigarh,
Bihar,
Assam,
Meghalaya,
Manipur,
Madhya Pradesh,
Mizoram,
Nagaland,
Odisha,
Punjab,
Puducherry,
Arunachal Pradesh,
Sikkim,
Telangana,
Andhra Pradesh,
Tripura,
Uttar Pradesh,
Uttarakhand,
Delhi,
