Category: All categories

Region,"rice: (10/14/25, 10:30 PM - 10/15/25, 10:30 PM)"
Manipur,100
Andaman and Nicobar Islands,98
Nagaland,93
Sikkim,90
Arunachal Pradesh,85
Tamil Nadu,85
Andhra Pradesh,82
Puducherry,78
Telangana,76
Karnataka,74
Goa,68
Mizoram,68
Meghalaya,63
Tripura,61
Odisha,61
Kerala,59
Assam,57
Jammu and Kashmir,57
West Bengal,54
Punjab,51
Jharkhand,48
Daman and Diu,47
Haryana,46
Chhattisgarh,45
Delhi,44
Dadra and Nagar Haveli,43
Maharashtra,42
Uttarakhand,42
Chandigarh,40
Uttar Pradesh,36
Himachal Pradesh,35
Bihar,32
Gujarat,28
Madhya Pradesh,26
Rajasthan,24
Lakshadweep,
