Category: All categories

Week,Soybean: (India)
2024-10-13,91
2024-10-20,88
2024-10-27,74
2024-11-03,83
2024-11-10,85
2024-11-17,84
2024-11-24,82
2024-12-01,74
2024-12-08,73
2024-12-15,66
2024-12-22,67
2024-12-29,66
2025-01-05,70
2025-01-12,68
2025-01-19,71
2025-01-26,71
2025-02-02,71
2025-02-09,66
2025-02-16,66
2025-02-23,69
2025-03-02,66
2025-03-09,64
2025-03-16,70
2025-03-23,65
2025-03-30,72
2025-04-06,74
2025-04-13,70
2025-04-20,64
2025-04-27,68
2025-05-04,63
2025-05-11,71
2025-05-18,72
2025-05-25,77
2025-06-01,83
2025-06-08,90
2025-06-15,100
2025-06-22,92
2025-06-29,93
2025-07-06,88
2025-07-13,91
2025-07-20,93
2025-07-27,94
2025-08-03,90
2025-08-10,86
2025-08-17,91
2025-08-24,86
2025-08-31,92
2025-09-07,78
2025-09-14,85
2025-09-21,87
2025-09-28,82
2025-10-05,93
2025-10-12,92
