Category: All categories

Region,"Soybean: (10/14/25, 10:54 PM - 10/15/25, 10:54 PM)"
Madhya Pradesh,100
Maharashtra,51
Manipur,43
Rajasthan,42
Nagaland,33
Delhi,31
Jharkhand,31
Uttarakhand,30
Goa,30
Punjab,29
Uttar Pradesh,29
Bihar,28
Haryana,27
Chhattisgarh,26
Karnataka,26
Telangana,26
Tripura,25
Chandigarh,25
Himachal Pradesh,25
West Bengal,24
Odisha,24
Jammu and Kashmir,22
Gujarat,21
Tamil Nadu,21
Kerala,19
Assam,19
Puducherry,19
Andhra Pradesh,19
Meghalaya,17
Lakshadweep,
Sikkim,
Mizoram,
Dadra and Nagar Haveli,
Daman and Diu,
Arunachal Pradesh,
Andaman and Nicobar Islands,
