Category: All categories

Region,"Sugarcane: (10/14/25, 11:00 PM - 10/15/25, 11:00 PM)"
Uttar Pradesh,100
Uttarakhand,62
Maharashtra,50
Manipur,50
Karnataka,42
Bihar,41
Jharkhand,41
Chandigarh,40
Goa,36
Madhya Pradesh,36
Andhra Pradesh,34
Chhattisgarh,33
Punjab,33
Haryana,31
Delhi,30
Assam,30
Tamil Nadu,28
Telangana,27
Rajasthan,26
West Bengal,23
Himachal Pradesh,23
Kerala,23
Odisha,18
Gujarat,18
Jammu and Kashmir,13
Lakshadweep,
Nagaland,
Puducherry,
Mizoram,
Sikkim,
Meghalaya,
Dadra and Nagar Haveli,
Tripura,
Daman and Diu,
Arunachal Pradesh,
Andaman and Nicobar Islands,
