Category: All categories

Region,"Sunflower seed: (10/14/25, 10:57 PM - 10/15/25, 10:57 PM)"
Telangana,100
Andhra Pradesh,68
Jharkhand,62
Karnataka,60
Delhi,49
Tamil Nadu,48
Uttarakhand,47
Kerala,44
Jammu and Kashmir,40
Uttar Pradesh,39
Odisha,38
Rajasthan,38
Maharashtra,37
Punjab,37
Haryana,29
West Bengal,27
Madhya Pradesh,24
Assam,24
Bihar,23
Gujarat,23
Lakshadweep,
Manipur,
Meghalaya,
Mizoram,
Nagaland,
Himachal Pradesh,
Goa,
Puducherry,
Dadra and Nagar Haveli,
Sikkim,
Daman and Diu,
Chhattisgarh,
Tripura,
Chandigarh,
Arunachal Pradesh,
Andaman and Nicobar Islands,
