Category: All categories

Region,"Tobacco: (10/14/25, 11:02 PM - 10/15/25, 11:02 PM)"
Himachal Pradesh,100
Nagaland,91
Puducherry,64
Arunachal Pradesh,60
Manipur,59
Jammu and Kashmir,54
Tripura,47
Assam,46
Chhattisgarh,30
Uttarakhand,29
Gujarat,28
Andhra Pradesh,26
Chandigarh,24
Jharkhand,24
Haryana,24
Meghalaya,23
Goa,23
Kerala,22
Karnataka,22
Punjab,22
Maharashtra,22
Uttar Pradesh,21
Tamil Nadu,21
Madhya Pradesh,20
Telangana,20
Bihar,19
Odisha,19
Rajasthan,19
Delhi,19
West Bengal,16
Lakshadweep,
Sikkim,
Mizoram,
Dadra and Nagar Haveli,
Daman and Diu,
Andaman and Nicobar Islands,
