Category: All categories

Week,Tomato: (India)
2024-10-13,94
2024-10-20,89
2024-10-27,81
2024-11-03,85
2024-11-10,89
2024-11-17,89
2024-11-24,90
2024-12-01,88
2024-12-08,94
2024-12-15,89
2024-12-22,90
2024-12-29,93
2025-01-05,99
2025-01-12,90
2025-01-19,93
2025-01-26,100
2025-02-02,94
2025-02-09,98
2025-02-16,98
2025-02-23,94
2025-03-02,100
2025-03-09,94
2025-03-16,95
2025-03-23,89
2025-03-30,93
2025-04-06,92
2025-04-13,79
2025-04-20,80
2025-04-27,85
2025-05-04,80
2025-05-11,84
2025-05-18,80
2025-05-25,81
2025-06-01,84
2025-06-08,87
2025-06-15,88
2025-06-22,84
2025-06-29,91
2025-07-06,90
2025-07-13,90
2025-07-20,91
2025-07-27,90
2025-08-03,87
2025-08-10,89
2025-08-17,97
2025-08-24,87
2025-08-31,88
2025-09-07,86
2025-09-14,86
2025-09-21,90
2025-09-28,81
2025-10-05,84
2025-10-12,85
