Category: All categories

Region,"Tomato: (10/14/25, 11:35 PM - 10/15/25, 11:35 PM)"
Chhattisgarh,100
Meghalaya,90
Madhya Pradesh,89
Uttarakhand,88
Karnataka,86
Manipur,85
Himachal Pradesh,79
Nagaland,79
Andhra Pradesh,76
Arunachal Pradesh,75
Goa,75
Rajasthan,74
Tamil Nadu,74
Telangana,73
Chandigarh,68
Uttar Pradesh,67
Kerala,66
Mizoram,65
Delhi,65
Jammu and Kashmir,64
Bihar,61
Jharkhand,61
Haryana,60
Punjab,58
Puducherry,55
Maharashtra,54
Gujarat,51
Odisha,48
Assam,41
West Bengal,39
Lakshadweep,
Sikkim,
Tripura,
Dadra and Nagar Haveli,
Daman and Diu,
Andaman and Nicobar Islands,
