Category: All categories

Week,Turmeric: (India)
2024-10-13,78
2024-10-20,80
2024-10-27,76
2024-11-03,79
2024-11-10,82
2024-11-17,91
2024-11-24,92
2024-12-01,92
2024-12-08,88
2024-12-15,93
2024-12-22,90
2024-12-29,90
2025-01-05,92
2025-01-12,95
2025-01-19,89
2025-01-26,100
2025-02-02,98
2025-02-09,85
2025-02-16,89
2025-02-23,82
2025-03-02,87
2025-03-09,82
2025-03-16,85
2025-03-23,80
2025-03-30,81
2025-04-06,82
2025-04-13,82
2025-04-20,84
2025-04-27,95
2025-05-04,74
2025-05-11,84
2025-05-18,77
2025-05-25,95
2025-06-01,90
2025-06-08,82
2025-06-15,94
2025-06-22,100
2025-06-29,93
2025-07-06,85
2025-07-13,80
2025-07-20,82
2025-07-27,86
2025-08-03,84
2025-08-10,78
2025-08-17,81
2025-08-24,85
2025-08-31,80
2025-09-07,73
2025-09-14,77
2025-09-21,70
2025-09-28,75
2025-10-05,83
2025-10-12,85
