Category: All categories

Region,"Turmeric: (10/14/25, 11:18 PM - 10/15/25, 11:18 PM)"
Sikkim,100
Arunachal Pradesh,89
Nagaland,60
Meghalaya,60
Manipur,53
Karnataka,44
Tripura,42
Telangana,38
Andhra Pradesh,38
Jammu and Kashmir,35
Tamil Nadu,33
Kerala,33
Assam,30
Maharashtra,30
Goa,29
Odisha,29
Uttarakhand,26
Punjab,24
Haryana,23
Delhi,23
Jharkhand,22
Himachal Pradesh,22
Chhattisgarh,21
Gujarat,19
West Bengal,18
Uttar Pradesh,17
Rajasthan,16
Bihar,16
Madhya Pradesh,16
Lakshadweep,
Puducherry,
Mizoram,
Dadra and Nagar Haveli,
Daman and Diu,
Chandigarh,
Andaman and Nicobar Islands,
