Category: All categories

Region,"wheat: (10/14/25, 10:33 PM - 10/15/25, 10:33 PM)"
Punjab,100
Haryana,86
Madhya Pradesh,75
Jammu and Kashmir,71
Puducherry,70
Himachal Pradesh,62
Nagaland,57
Andhra Pradesh,57
Uttarakhand,57
Karnataka,57
Chandigarh,54
Telangana,53
Manipur,53
Tamil Nadu,53
Uttar Pradesh,50
Delhi,48
Maharashtra,47
Rajasthan,46
Kerala,45
Goa,39
Bihar,36
Jharkhand,36
Gujarat,34
Odisha,33
Assam,30
Tripura,30
West Bengal,29
Chhattisgarh,25
Lakshadweep,
Sikkim,
Mizoram,
Meghalaya,
Dadra and Nagar Haveli,
Daman and Diu,
Arunachal Pradesh,
Andaman and Nicobar Islands,
