Crop,Average_Peak_Value
Rice,91.74
Tomato,89.13
Brinjal,87.79
Black_Paper,87.21
Coconut,86.45
Cinnamon,86.34
Coriander,85.74
Turmeric,85.13
Fenugreek,84.57
Capsicum,83.58
Maize,82.79
Red_Papper,82.6
Cumin,82.21
Wheat,82.08
French_Beans,79.91
jawor,79.87
Jowar,79.87
Pineapple,78.75
Soybean,78.62
Onion,78.21
Cardamom,78.02
Ginger,77.89
Cabbage,77.6
Jute,76.85
Cotton,75.98
Carrot,73.74
Mustard,71.92
Orange,69.92
Guava,69.17
Cauliflower,67.38
Bajra,63.45
Pea,60.34
Sugarcane,60.15
Apple,58.6
Mango,47.58
Tabacco,38.83
Sesame,32.98
Banana,31.49
Peanut,29.15
Potato,24.83
