crop,average,count
Apple,77.497238,181
Bajra,45.254386,114
Banana,66.394444,180
Black_Paper,49.500000,46
Brinjal,63.528169,142
Cabbage,58.423077,78
Capsicum,67.484848,33
Cardamom,47.422680,97
Carrot,29.522059,136
Cauliflower,57.595745,47
Cinnamon,28.141732,127
Coconut,59.090909,165
Coriander,47.093750,96
Cotton,74.110497,181
Cumin,16.839080,87
Fenugreek,30.302083,96
French_Beans,95.500000,2
Ginger,48.806667,150
Guava,57.178571,140
Jowar,55.808081,99
Jute,55.685315,143
Maize,44.623932,117
Mango,64.579618,157
Mustard,59.960526,152
Onion,63.612500,160
Orange,58.046980,149
Pea,55.878788,132
Peanut,65.552147,163
Pineapple,44.863309,139
Potato,74.333333,3
Red_Papper,66.666667,3
Rice,67.878453,181
Sesame,45.166667,150
Soybean,70.172414,174
Sugarcane,42.721088,147
Tabacco,39.418440,141
Tomato,63.150943,159
Turmeric,57.722628,137
Wheat,64.845161,155
jawor,55.808081,99
